2010-10-16 11:30:24+0200 [scrapy] INFO: Scrapy 0.10.2 started (bot: liberbot)
2010-10-16 11:30:24+0200 [scrapy] DEBUG: Enabled extensions: FeedExporter, TelnetConsole, SpiderContext, WebService, CoreStats, MemoryUsage, CloseSpider
2010-10-16 11:30:24+0200 [scrapy] DEBUG: Enabled scheduler middlewares: DuplicatesFilterMiddleware
2010-10-16 11:30:24+0200 [scrapy] DEBUG: Enabled downloader middlewares: HttpAuthMiddleware, DownloadTimeoutMiddleware, UserAgentMiddleware, RetryMiddleware, DefaultHeadersMiddleware, RedirectMiddleware, CookiesMiddleware, HttpCompressionMiddleware, DownloaderStats, HttpCacheMiddleware
2010-10-16 11:30:24+0200 [scrapy] DEBUG: Enabled spider middlewares: HttpErrorMiddleware, OffsiteMiddleware, RefererMiddleware, UrlLengthMiddleware, DepthMiddleware
2010-10-16 11:30:24+0200 [scrapy] DEBUG: Enabled item pipelines: 
2010-10-16 11:30:24+0200 [scrapy] DEBUG: Telnet console listening on port 6023
2010-10-16 11:30:24+0200 [scrapy] DEBUG: Web service listening on port 6080
2010-10-16 11:30:24+0200 [eztv] INFO: Spider opened
2010-10-16 11:30:25+0200 [eztv] DEBUG: Crawled (200) <GET http://eztv.it/shows/16/ashes-to-ashes/> (referer: None)
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='3', links='http://torrent.zoink.it/Ashes.to.Ashes.3x03.(HDTV-FoV)[VTV].torrent', serie='Ashes to Ashes', epi='03', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='3', links='http://torrent.zoink.it/Ashes.to.Ashes.3x03.(HDTV-FoV)[VTV].torrent', serie='Ashes to Ashes', epi='03', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='3', links='http://www.bt-chat.com/download1.php?id=78943', serie='Ashes to Ashes', epi='03', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='3', links='http://www.bt-chat.com/download1.php?id=78943', serie='Ashes to Ashes', epi='03', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='3', links='http://torrent.zoink.it/Ashes.to.Ashes.3x02.(PDTV-RiVER)[VTV].torrent', serie='Ashes to Ashes', epi='02', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='3', links='http://torrent.zoink.it/Ashes.to.Ashes.3x02.(PDTV-RiVER)[VTV].torrent', serie='Ashes to Ashes', epi='02', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='3', links='http://www.bt-chat.com/download1.php?id=78162', serie='Ashes to Ashes', epi='02', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='3', links='http://www.bt-chat.com/download1.php?id=78162', serie='Ashes to Ashes', epi='02', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='3', links='http://torrent.zoink.it/Ashes.to.Ashes.3x01.(HDTV-FoV)[VTV].torrent', serie='Ashes to Ashes', epi='01', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='3', links='http://torrent.zoink.it/Ashes.to.Ashes.3x01.(HDTV-FoV)[VTV].torrent', serie='Ashes to Ashes', epi='01', type='Torrent')
