2010-10-16 11:35:54+0200 [scrapy] INFO: Scrapy 0.10.2 started (bot: liberbot)
2010-10-16 11:35:54+0200 [scrapy] DEBUG: Enabled extensions: FeedExporter, TelnetConsole, SpiderContext, WebService, CoreStats, MemoryUsage, CloseSpider
2010-10-16 11:35:54+0200 [scrapy] DEBUG: Enabled scheduler middlewares: DuplicatesFilterMiddleware
2010-10-16 11:35:54+0200 [scrapy] DEBUG: Enabled downloader middlewares: HttpAuthMiddleware, DownloadTimeoutMiddleware, UserAgentMiddleware, RetryMiddleware, DefaultHeadersMiddleware, RedirectMiddleware, CookiesMiddleware, HttpCompressionMiddleware, DownloaderStats, HttpCacheMiddleware
2010-10-16 11:35:54+0200 [scrapy] DEBUG: Enabled spider middlewares: HttpErrorMiddleware, OffsiteMiddleware, RefererMiddleware, UrlLengthMiddleware, DepthMiddleware
2010-10-16 11:35:54+0200 [scrapy] DEBUG: Enabled item pipelines: 
2010-10-16 11:35:54+0200 [scrapy] DEBUG: Telnet console listening on port 6023
2010-10-16 11:35:54+0200 [scrapy] DEBUG: Web service listening on port 6080
2010-10-16 11:35:54+0200 [eztv] INFO: Spider opened
2010-10-16 11:35:55+0200 [eztv] DEBUG: Crawled (200) <GET http://eztv.it/shows/203/nurse-jackie/> (referer: None)
2010-10-16 11:35:55+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='02', links='http://www.bt-chat.com/download.php?info_hash=597e1babe0b3dfcddae49a1280459d69bd43ccb9', serie='Nurse Jackie', epi='10', type='Torrent')
2010-10-16 11:35:55+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='02', links='http://torrage.com/torrent/597E1BABE0B3DFCDDAE49A1280459D69BD43CCB9.torrent', serie='Nurse Jackie', epi='10', type='Torrent') in <http://eztv.it/shows/203/nurse-jackie/>
2010-10-16 11:35:55+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='02', links='http://torrage.com/torrent/597E1BABE0B3DFCDDAE49A1280459D69BD43CCB9.torrent', serie='Nurse Jackie', epi='10', type='Torrent')
2010-10-16 11:35:55+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='02', links='http://zoink.it/torrent/597E1BABE0B3DFCDDAE49A1280459D69BD43CCB9.torrent', serie='Nurse Jackie', epi='10', type='Torrent') in <http://eztv.it/shows/203/nurse-jackie/>
2010-10-16 11:35:55+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='02', links='http://zoink.it/torrent/597E1BABE0B3DFCDDAE49A1280459D69BD43CCB9.torrent', serie='Nurse Jackie', epi='10', type='Torrent')
2010-10-16 11:35:55+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='02', links='http://torrent.zoink.it/Nurse.Jackie.S02E09.HDTV.XviD-XII.[eztv].torrent', serie='Nurse Jackie', epi='09', type='Torrent') in <http://eztv.it/shows/203/nurse-jackie/>
2010-10-16 11:35:55+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='02', links='http://torrent.zoink.it/Nurse.Jackie.S02E09.HDTV.XviD-XII.[eztv].torrent', serie='Nurse Jackie', epi='09', type='Torrent')
2010-10-16 11:35:55+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='02', links='http://www.bt-chat.com/download.php?info_hash=b7af87eca69251406cd29b03d428ca1fd1dcad7d', serie='Nurse Jackie', epi='09', type='Torrent') in <http://eztv.it/shows/203/nurse-jackie/>
2010-10-16 11:35:55+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='02', links='http://www.bt-chat.com/download.php?info_hash=b7af87eca69251406cd29b03d428ca1fd1dcad7d', serie='Nurse Jackie', epi='09', type='Torrent')
2010-10-16 11:35:55+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='02', links='http://torrage.com/torrent/B7AF87ECA69251406CD29B03D428CA1FD1DCAD7D.torrent', serie='Nurse Jackie', epi='09', type='Torrent') in <http://eztv.it/shows/203/nurse-jackie/>
